1,1,23.438,2.1945e+005
1,2,27.872,5.3074e+005
1,3,30.895,1.3085e+006
1,4,36.799,5.3105e+006
2,1,22.178,1.8291e+005
2,2,25.173,4.7334e+005
2,3,28.106,1.1656e+006
2,4,33.691,4.754e+006
3,1,22.182,1.9446e+005
3,2,25.225,4.9626e+005
3,3,28.126,1.205e+006
3,4,33.681,4.833e+006
4,1,22.328,1.7156e+005
4,2,25.232,4.3154e+005
4,3,28.088,1.162e+006
4,4,33.705,4.9727e+006
5,1,22.497,1.6356e+005
5,2,25.464,4.1122e+005
5,3,28.393,1.091e+006
5,4,33.832,4.6186e+006
6,1,22.846,1.7817e+005
6,2,25.716,4.3546e+005
6,3,28.476,1.1163e+006
6,4,33.948,4.6036e+006
7,1,22.085,1.7857e+005
7,2,25.111,4.528e+005
7,3,28.03,1.1002e+006
7,4,33.635,4.6348e+006
8,1,22.796,1.6529e+005
8,2,25.847,4.0226e+005
8,3,28.754,1.0014e+006
8,4,34.093,4.0516e+006
9,1,22.808,1.6122e+005
9,2,25.831,3.9468e+005
9,3,28.758,9.9086e+005
9,4,34.132,4.054e+006
10,1,22.423,1.9462e+005
10,2,25.486,4.8154e+005
10,3,28.475,1.156e+006
10,4,33.907,4.4414e+006
11,1,22.118,1.9266e+005
11,2,25.126,4.931e+005
11,3,27.999,1.2548e+006
11,4,33.626,5.1757e+006
12,1,22.515,1.7406e+005
12,2,25.458,4.4081e+005
12,3,28.322,1.1609e+006
12,4,33.878,4.841e+006
13,1,22.217,1.9246e+005
13,2,25.255,4.8602e+005
13,3,28.238,1.1684e+006
13,4,33.756,4.5644e+006
14,1,22.211,1.9149e+005
14,2,25.224,4.7896e+005
14,3,28.157,1.1839e+006
14,4,33.66,4.8336e+006
15,1,22.469,1.873e+005
15,2,25.397,4.6611e+005
15,3,28.293,1.2028e+006
15,4,33.87,4.8105e+006
16,1,22.031,1.9468e+005
16,2,25.028,4.9057e+005
16,3,27.973,1.2026e+006
16,4,33.597,4.8901e+006
17,1,21.916,1.9355e+005
17,2,24.925,4.9038e+005
17,3,27.905,1.2314e+006
17,4,33.589,4.8799e+006
18,1,22.028,1.8699e+005
18,2,24.951,4.5453e+005
18,3,27.911,1.209e+006
18,4,33.531,4.9494e+006
19,1,22.306,1.9571e+005
19,2,25.104,4.796e+005
19,3,27.894,1.2699e+006
19,4,33.588,5.4401e+006
20,1,22.456,1.863e+005
20,2,25.509,4.5898e+005
20,3,28.441,1.1334e+006
20,4,33.796,4.5597e+006
21,1,22.083,2.0074e+005
21,2,25.129,4.9723e+005
21,3,28.063,1.1735e+006
21,4,33.52,4.6654e+006
22,1,21.774,1.9892e+005
22,2,24.787,4.9111e+005
22,3,27.614,1.1609e+006
22,4,33.25,5.2113e+006
23,1,22.021,1.8873e+005
23,2,25.051,4.4094e+005
23,3,27.721,1.0051e+006
23,4,33.274,5.1429e+006
24,1,22.449,1.8779e+005
24,2,26.107,4.0572e+005
24,3,29.051,7.5971e+005
24,4,34.028,2.963e+006
25,1,22.728,1.7992e+005
25,2,27.114,4.0405e+005
25,3,30.332,6.4764e+005
25,4,34.567,2.0559e+006
26,1,22.637,1.8049e+005
26,2,27.069,4.0263e+005
26,3,30.392,6.2295e+005
26,4,34.829,1.7904e+006
27,1,22.884,1.7956e+005
27,2,27.523,4.0166e+005
27,3,31.056,6.1309e+005
27,4,35.196,1.5643e+006
28,1,22.71,1.7881e+005
28,2,27.492,4.0099e+005
28,3,31.224,5.971e+005
28,4,35.583,1.4348e+006
29,1,22.712,1.7863e+005
29,2,27.586,4.0098e+005
29,3,31.55,5.9494e+005
29,4,35.875,1.2652e+006
30,1,22.734,1.7879e+005
30,2,27.523,4.0069e+005
30,3,31.24,5.9337e+005
30,4,35.42,1.3842e+006
31,1,28.461,8968
31,2,31.501,22304
31,3,34.842,78936
31,4,38.639,4.3914e+005
32,1,38.568,7464
32,2,39.022,16336
32,3,41.864,38872
32,4,44.539,75384
33,1,26.441,1.7999e+005
33,2,30.025,4.0378e+005
33,3,33.514,5.9457e+005
33,4,37.544,1.2774e+006
34,1,22.735,1.7784e+005
34,2,27.593,4.0278e+005
34,3,31.418,5.9296e+005
34,4,35.592,1.3213e+006
35,1,22.728,1.7865e+005
35,2,27.598,4.025e+005
35,3,31.529,5.9377e+005
35,4,35.884,1.2865e+006
36,1,22.716,1.7928e+005
36,2,27.503,4.0163e+005
36,3,31.217,5.9538e+005
36,4,35.468,1.4032e+006
37,1,22.868,1.7967e+005
37,2,27.518,4.0258e+005
37,3,31.029,6.105e+005
37,4,35.127,1.5587e+006
38,1,22.598,1.7953e+005
38,2,27.092,4.0356e+005
38,3,30.48,6.1877e+005
38,4,34.852,1.7135e+006
39,1,22.644,1.8075e+005
39,2,26.997,4.0305e+005
39,3,30.245,6.4544e+005
39,4,34.598,2.0783e+006
40,1,22.501,1.8215e+005
40,2,26.162,4.079e+005
40,3,29.132,7.645e+005
40,4,33.942,2.8745e+006
41,1,22.068,1.9321e+005
41,2,25.229,4.4253e+005
41,3,27.952,9.9948e+005
41,4,33.325,4.8462e+006
42,1,21.73,1.9366e+005
42,2,24.719,4.8198e+005
42,3,27.575,1.1885e+006
42,4,33.253,5.2258e+006
43,1,22.12,1.8049e+005
43,2,25.047,4.4345e+005
43,3,27.864,1.1314e+006
43,4,33.436,5.087e+006
44,1,22.445,1.9453e+005
44,2,25.51,4.7032e+005
44,3,28.434,1.1292e+006
44,4,33.855,4.4716e+006
45,1,22.385,1.9013e+005
45,2,25.227,4.735e+005
45,3,28.049,1.2871e+006
45,4,33.71,5.2396e+006
46,1,21.978,1.914e+005
46,2,24.903,4.7224e+005
46,3,27.854,1.2393e+006
46,4,33.539,5.0714e+006
47,1,21.88,1.9673e+005
47,2,24.893,4.9138e+005
47,3,27.874,1.2238e+006
47,4,33.499,4.9612e+006
48,1,22.044,1.8756e+005
48,2,25.028,4.7069e+005
48,3,27.983,1.2097e+006
48,4,33.611,4.9742e+006
49,1,22.441,1.896e+005
49,2,25.293,4.6565e+005
49,3,28.092,1.1932e+006
49,4,33.76,5.0196e+006
50,1,22.157,1.9222e+005
50,2,25.061,4.8276e+005
50,3,27.911,1.2265e+006
50,4,33.582,5.1263e+006
51,1,22.284,1.7247e+005
51,2,25.287,4.3015e+005
51,3,28.263,1.1114e+006
51,4,33.803,4.5337e+006
52,1,22.353,1.8605e+005
52,2,25.24,4.5633e+005
52,3,28.142,1.2031e+006
52,4,33.767,5.0898e+006
53,1,21.997,1.9493e+005
53,2,24.961,4.9298e+005
53,3,27.872,1.2317e+006
53,4,33.585,5.1324e+006
54,1,22.516,1.644e+005
54,2,25.56,4.0458e+005
54,3,28.522,1.0364e+006
54,4,33.966,4.237e+006
55,1,22.759,1.6315e+005
55,2,25.804,3.9833e+005
55,3,28.812,1.004e+006
55,4,34.189,3.946e+006
56,1,22.659,1.8134e+005
56,2,25.7,4.4373e+005
56,3,28.583,1.0524e+006
56,4,34.013,4.2094e+006
57,1,22.113,1.7495e+005
57,2,25.103,4.4625e+005
57,3,28.05,1.1394e+006
57,4,33.608,4.6949e+006
58,1,22.976,1.6298e+005
58,2,25.907,3.9749e+005
58,3,28.766,1.0366e+006
58,4,34.025,4.2344e+006
