1,1,418.39,2.1945e+005
1,2,219.65,5.3074e+005
1,3,113.96,1.3085e+006
1,4,29.495,5.3105e+006
2,1,396.25,1.8291e+005
2,2,203.08,4.7334e+005
2,3,105.96,1.1656e+006
2,4,29.619,4.754e+006
3,1,395.31,1.9446e+005
3,2,199.5,4.9626e+005
3,3,104.63,1.205e+006
3,4,29.631,4.833e+006
4,1,383.21,1.7156e+005
4,2,200.87,4.3154e+005
4,3,106.75,1.162e+006
4,4,29.589,4.9727e+006
5,1,369.82,1.6356e+005
5,2,190.05,4.1122e+005
5,3,98.918,1.091e+006
5,4,28.663,4.6186e+006
6,1,338.68,1.7817e+005
6,2,177.29,4.3546e+005
6,3,96.198,1.1163e+006
6,4,27.8,4.6036e+006
7,1,405.09,1.7857e+005
7,2,205.33,4.528e+005
7,3,107.14,1.1002e+006
7,4,29.959,4.6348e+006
8,1,343.49,1.6529e+005
8,2,172.7,4.0226e+005
8,3,90.182,1.0014e+006
8,4,26.76,4.0516e+006
9,1,343.21,1.6122e+005
9,2,174.72,3.9468e+005
9,3,91.006,9.9086e+005
9,4,26.596,4.054e+006
10,1,374.59,1.9462e+005
10,2,187.69,4.8154e+005
10,3,96.209,1.156e+006
10,4,28.023,4.4414e+006
11,1,401.18,1.9266e+005
11,2,203.83,4.931e+005
11,3,108,1.2548e+006
11,4,30.08,5.1757e+006
12,1,367.51,1.7406e+005
12,2,190.27,4.4081e+005
12,3,100.93,1.1609e+006
12,4,28.408,4.841e+006
13,1,392.74,1.9246e+005
13,2,197.88,4.8602e+005
13,3,101.64,1.1684e+006
13,4,29.088,4.5644e+006
14,1,392.3,1.9149e+005
14,2,199.47,4.7896e+005
14,3,103.91,1.1839e+006
14,4,29.851,4.8336e+006
15,1,369.55,1.873e+005
15,2,191.39,4.6611e+005
15,3,100.65,1.2028e+006
15,4,28.344,4.8105e+006
16,1,409.34,1.9468e+005
16,2,208.74,4.9057e+005
16,3,108.31,1.2026e+006
16,4,30.257,4.8901e+006
17,1,421.14,1.9355e+005
17,2,214.22,4.9038e+005
17,3,110.16,1.2314e+006
17,4,30.237,4.8799e+006
18,1,410.4,1.8699e+005
18,2,213.61,4.5453e+005
18,3,110.58,1.209e+006
18,4,30.814,4.9494e+006
19,1,384.3,1.9571e+005
19,2,206.01,4.796e+005
19,3,111.33,1.2699e+006
19,4,30.451,5.4401e+006
20,1,371.22,1.863e+005
20,2,186.63,4.5898e+005
20,3,97.23,1.1334e+006
20,4,28.839,4.5597e+006
21,1,404.61,2.0074e+005
21,2,203.88,4.9723e+005
21,3,106.04,1.1735e+006
21,4,30.835,4.6654e+006
22,1,433.48,1.9892e+005
22,2,220.42,4.9111e+005
22,3,118.41,1.1609e+006
22,4,33.001,5.2113e+006
23,1,409.19,1.8873e+005
23,2,208.97,4.4094e+005
23,3,117.57,1.0051e+006
23,4,32.934,5.1429e+006
24,1,370.03,1.8779e+005
24,2,160.79,4.0572e+005
24,3,83.724,7.5971e+005
24,4,27.095,2.963e+006
25,1,347.26,1.7992e+005
25,2,126.62,4.0405e+005
25,3,61.077,6.4764e+005
25,4,23.687,2.0559e+006
26,1,354.4,1.8049e+005
26,2,128.01,4.0263e+005
26,3,60.36,6.2295e+005
26,4,22.225,1.7904e+006
27,1,335.06,1.7956e+005
27,2,115.12,4.0166e+005
27,3,51.38,6.1309e+005
27,4,20.236,1.5643e+006
28,1,348.49,1.7881e+005
28,2,115.88,4.0099e+005
28,3,49.385,5.971e+005
28,4,18.427,1.4348e+006
29,1,348.37,1.7863e+005
29,2,113.38,4.0098e+005
29,3,45.599,5.9494e+005
29,4,17.179,1.2652e+006
30,1,346.6,1.7879e+005
30,2,115.1,4.0069e+005
30,3,49.247,5.9337e+005
30,4,19.239,1.3842e+006
31,1,237.39,8968
31,2,84.401,22304
31,3,36.837,78936
31,4,13.431,4.3914e+005
32,1,9.043,7464
32,2,8.1448,16336
32,3,4.2338,38872
32,4,2.2866,75384
33,1,283.02,1.7999e+005
33,2,98.907,4.0378e+005
33,3,42.628,5.9457e+005
