GOP,layer, Y-PSNR, bits
158,4,31.724,33074
158,5,32.976,36096
158,6,34.493,45094
158,7,36.126,52071
158,8,37.642,55180
159,1,26.854,44310
159,2,28.085,20313
159,3,29.408,28610
159,4,30.867,36768
159,5,32.160,40697
159,6,33.731,50134
159,7,35.432,58086
159,8,37.002,61688
160,1,26.993,40263
160,2,28.238,18551
160,3,29.559,25808
160,4,31.024,32818
160,5,32.297,36026
160,6,33.872,45006
160,7,35.579,51712
160,8,37.153,54778
161,1,26.931,42032
161,2,28.169,19309
161,3,29.494,27565
161,4,30.948,35488
161,5,32.231,39153
161,6,33.795,48387
161,7,35.493,56272
161,8,37.053,59942
162,1,26.873,48066
162,2,28.077,21054
162,3,29.396,30679
162,4,30.858,38996
162,5,32.153,43463
162,6,33.714,53575
162,7,35.408,62230
162,8,36.991,66886
163,1,26.576,72109
163,2,27.682,31991
163,3,28.955,47565
163,4,30.375,62240
163,5,31.686,72532
163,6,33.189,87903
163,7,34.849,104118
163,8,36.449,114400
164,1,26.543,62766
164,2,27.664,28552
164,3,28.978,41938
164,4,30.416,54028
164,5,31.738,60866
164,6,33.285,75106
164,7,34.977,87830
164,8,36.578,96105
165,1,26.904,44065
165,2,28.152,20082
165,3,29.479,28168
165,4,30.947,36019
165,5,32.253,40027
165,6,33.824,49663
165,7,35.527,58160
165,8,37.116,61713
166,1,26.924,44702
166,2,28.183,19285
166,3,29.509,27367
166,4,30.965,34548
166,5,32.257,38181
166,6,33.831,46976
166,7,35.546,54312
166,8,37.132,57824
167,1,26.934,64512
167,2,27.842,30473
167,3,28.985,49963
167,4,30.272,68204
167,5,31.504,81457
167,6,32.883,103240
167,7,34.407,125155
167,8,35.920,145145
168,1,26.620,84803
168,2,27.253,43684
168,3,28.307,74931
168,4,29.494,103005
168,5,30.734,127241
168,6,32.000,159622
168,7,33.418,194614
168,8,34.917,230683
169,1,26.666,80100
169,2,27.300,42336
169,3,28.331,72700
169,4,29.497,100618
169,5,30.718,124762
169,6,31.993,158478
169,7,33.398,194017
169,8,34.909,231097
170,1,26.836,78031
170,2,27.490,41301
170,3,28.524,70276
170,4,29.695,96646
170,5,30.925,119090
170,6,32.187,151014
170,7,33.601,184794
170,8,35.096,219906
171,1,26.891,81919
171,2,27.552,40343
171,3,28.573,68958
171,4,29.727,94668
171,5,30.918,115978
171,6,32.189,150222
171,7,33.593,183990
171,8,35.095,220238
172,1,26.548,86170
172,2,27.228,41969
172,3,28.228,70307
172,4,29.333,97351
172,5,30.444,121594
172,6,31.674,160433
172,7,33.062,201436
172,8,34.564,242989
173,1,26.540,82620
173,2,27.242,40536
173,3,28.229,66982
173,4,29.311,93229
173,5,30.423,118564
173,6,31.651,156372
173,7,33.020,196753
173,8,34.508,239454
174,1,26.470,88445
174,2,27.179,43539
174,3,28.194,71391
174,4,29.309,98094
174,5,30.444,122533
174,6,31.664,158285
174,7,33.046,199838
174,8,34.515,239217
175,1,26.220,95110
175,2,26.936,47535
175,3,27.976,78206
175,4,29.151,107987
175,5,30.344,132727
175,6,31.612,170220
175,7,33.030,209670
175,8,34.522,246868
176,1,25.986,129449
176,2,26.681,62743
176,3,27.703,103453
176,4,28.867,141397
176,5,30.113,174328
176,6,31.388,216362
176,7,32.843,262372
176,8,34.456,304753
177,1,24.895,146809
177,2,25.629,68691
177,3,26.690,111394
177,4,27.936,153198
177,5,29.238,186419
177,6,30.618,234104
177,7,32.167,281790
177,8,33.843,323496
178,1,25.171,124630
178,2,25.900,61469
178,3,26.956,99586
178,4,28.150,135381
178,5,29.401,167627
178,6,30.739,212128
178,7,32.261,261707
178,8,33.889,305960
179,1,25.091,127332
179,2,25.806,62796
179,3,26.866,101920
179,4,28.059,138153
179,5,29.327,172946
179,6,30.666,216735
179,7,32.199,267627
179,8,33.854,312524
180,1,25.131,116431
180,2,25.842,60491
180,3,26.874,98604
180,4,28.041,135494
180,5,29.280,169339
180,6,30.625,216747
180,7,32.155,268212
180,8,33.809,314616
181,1,25.357,106661
181,2,26.067,55737
181,3,27.101,91043
181,4,28.251,124857
181,5,29.457,156475
181,6,30.770,201214
181,7,32.272,251503
181,8,33.902,297503
182,1,26.420,58406
182,2,27.298,33459
182,3,28.365,52205
182,4,29.517,73120
182,5,30.620,92411
182,6,31.827,123064
182,7,33.160,159403
182,8,34.558,197244
183,1,26.497,57100
183,2,27.378,33078
183,3,28.416,50398
183,4,29.561,71635
183,5,30.659,90568
183,6,31.861,121733
183,7,33.183,158049
183,8,34.576,196781
184,1,26.225,67028
184,2,27.083,37179
184,3,28.120,58321
184,4,29.293,82470
184,5,30.416,102402
184,6,31.643,136114
184,7,33.009,174520
184,8,34.448,213489
185,1,26.275,65681
185,2,27.124,36974
185,3,28.184,58339
185,4,29.331,80576
185,5,30.439,100516
185,6,31.672,134785
185,7,33.030,173473
185,8,34.457,210782
186,1,26.281,64421
186,2,27.129,36796
186,3,28.189,57805
186,4,29.341,80959
186,5,30.461,101805
186,6,31.690,135244
186,7,33.045,173085
186,8,34.458,210828
187,1,26.205,67782
187,2,27.051,38477
187,3,28.104,61153
187,4,29.239,83837
187,5,30.371,106087
187,6,31.606,140055
187,7,32.980,178844
187,8,34.428,217532
188,1,26.333,63999
188,2,27.158,36308
188,3,28.204,57550
188,4,29.336,80399
188,5,30.423,100494
188,6,31.654,135632
188,7,33.004,173134
188,8,34.430,212494
189,1,26.072,74161
189,2,26.875,41020
189,3,27.933,66501
189,4,29.083,91087
189,5,30.221,112691
189,6,31.468,148006
189,7,32.863,188939
189,8,34.319,227385
190,1,26.241,66985
190,2,27.051,38732
190,3,28.082,61422
190,4,29.213,85773
190,5,30.298,106207
190,6,31.523,141780
190,7,32.879,181323
190,8,34.312,221327
191,1,26.332,57388
191,2,27.163,35329
191,3,28.231,56764
191,4,29.331,77456
191,5,30.417,99126
191,6,31.645,133501
191,7,32.981,170451
191,8,34.402,211631
192,1,25.574,100291
192,2,26.279,55652
192,3,27.333,91617
192,4,28.471,123555
192,5,29.679,153459
192,6,31.004,198907
192,7,32.495,246808
192,8,34.144,293433
193,1,25.811,89665
193,2,26.480,50210
193,3,27.485,84713
193,4,28.591,116394
193,5,29.758,146101
193,6,31.034,190575
193,7,32.490,238640
193,8,34.106,288120
194,1,25.830,89925
194,2,26.527,51157
194,3,27.531,84431
194,4,28.627,115484
194,5,29.792,145956
194,6,31.076,189625
194,7,32.527,237257
194,8,34.138,286151
195,1,25.722,89306
195,2,26.419,51499
195,3,27.416,84365
195,4,28.507,115926
195,5,29.668,146139
195,6,30.947,190498
195,7,32.417,240810
195,8,34.036,289846
196,1,25.895,91189
196,2,26.574,49343
196,3,27.590,81069
196,4,28.698,111299
196,5,29.831,138625
196,6,31.100,183041
196,7,32.544,231389
196,8,34.132,280708
197,1,26.212,78873
197,2,26.919,40725
197,3,27.918,66773
197,4,29.034,94783
197,5,30.169,119366
197,6,31.426,160536
197,7,32.822,203422
197,8,34.367,251981
198,1,26.263,77211
198,2,27.001,40308
198,3,27.990,65628
198,4,29.075,92125
198,5,30.217,119090
198,6,31.453,157672
198,7,32.853,202096
198,8,34.368,248202
199,1,26.304,74918
199,2,27.034,41283
199,3,28.030,67439
199,4,29.124,94220
199,5,30.251,119578
199,6,31.482,157574
199,7,32.897,203012
199,8,34.423,247036
200,1,26.027,88899
200,2,26.744,48590
200,3,27.741,78487
200,4,28.838,107121
200,5,29.992,134877
200,6,31.261,175739
200,7,32.709,222918
200,8,34.319,271968
201,1,26.027,91010
201,2,26.724,49347
201,3,27.733,80762
201,4,28.824,109541
201,5,29.986,137978
201,6,31.260,180069
201,7,32.709,227353
201,8,34.322,275908
202,1,25.963,91434
202,2,26.656,48716
202,3,27.657,81178
202,4,28.792,113651
202,5,30.014,144920
202,6,31.265,184757
202,7,32.720,233537
202,8,34.302,277830
203,1,27.019,66107
203,2,27.684,36672
203,3,28.678,62962
203,4,29.799,88822
203,5,30.977,112402
203,6,32.197,144202
203,7,33.583,180140
203,8,35.100,218395
204,1,28.926,34122
204,2,29.736,16738
204,3,30.864,27169
204,4,32.114,36584
204,5,33.278,45751
204,6,34.550,59305
204,7,35.875,73447
204,8,37.192,87009
205,1,28.951,31209
205,2,29.782,16376
205,3,30.909,26433
205,4,32.178,36155
205,5,33.333,43717
205,6,34.595,56940
205,7,35.947,71096
205,8,37.238,83709
206,1,29.189,23269
206,2,30.046,13566
206,3,31.166,20863
206,4,32.415,28807
206,5,33.580,36140
206,6,34.844,47542
206,7,36.157,59691
206,8,37.414,72309
207,1,29.319,19747
207,2,30.207,11680
207,3,31.354,18650
207,4,32.599,26249
207,5,33.747,32434
207,6,35.000,43423
207,7,36.318,55438
207,8,37.562,67035
208,1,29.280,19923
208,2,30.133,11952
208,3,31.287,19370
208,4,32.550,26459
208,5,33.699,32785
208,6,34.958,44025
208,7,36.272,55989
208,8,37.500,67970
209,1,28.800,31635
209,2,29.665,16041
209,3,30.801,24189
209,4,32.058,32755
209,5,33.175,39554
209,6,34.420,52700
209,7,35.703,66610
209,8,36.979,81645
210,1,27.468,50361
210,2,28.405,24818
210,3,29.474,37744
210,4,30.596,52403
210,5,31.590,65535
210,6,32.642,88479
210,7,33.810,119763
210,8,35.035,155542
211,1,27.508,44348
211,2,28.466,22047
211,3,29.530,33555
211,4,30.606,46189
211,5,31.572,58876
211,6,32.611,81524
211,7,33.747,112276
211,8,34.970,151342
212,1,27.411,48625
212,2,28.350,24113
212,3,29.413,37130
212,4,30.508,50753
212,5,31.479,63235
212,6,32.513,86901
212,7,33.662,118441
212,8,34.914,158577
213,1,27.560,42412
213,2,28.546,21780
213,3,29.618,32511
213,4,30.679,44383
213,5,31.616,55992
213,6,32.640,78556
213,7,33.769,108578
213,8,34.996,148127
214,1,27.732,35777
214,2,28.754,19311
214,3,29.854,28799
214,4,30.918,38245
214,5,31.854,49245
214,6,32.868,69440
214,7,33.985,98354
214,8,35.166,134443
215,1,28.267,55215
215,2,29.095,21558
215,3,30.114,35159
215,4,31.201,46642
215,5,32.203,57698
215,6,33.322,77546
215,7,34.537,98928
215,8,35.824,126369
216,1,28.841,62652
216,2,29.495,25198
216,3,30.554,42521
216,4,31.730,57390
216,5,32.881,70470
216,6,34.116,91138
216,7,35.438,112221
216,8,36.848,135817
217,1,29.861,57071
217,2,30.522,22464
217,3,31.489,36534
217,4,32.616,50359
217,5,33.733,62221
217,6,34.914,80405
217,7,36.165,99205
217,8,37.536,122046
218,1,30.335,58758
218,2,31.015,23373
218,3,31.990,36839
218,4,33.108,49351
218,5,34.229,60860
218,6,35.365,77123
218,7,36.583,94158
218,8,37.915,115444
219,1,30.548,50356
219,2,31.232,21057
219,3,32.178,32940
219,4,33.289,44321
219,5,34.373,54710
219,6,35.465,69058
219,7,36.659,86850
219,8,37.946,107088
220,1,31.992,32682
220,2,32.538,13737
220,3,33.395,22985
220,4,34.359,31177
220,5,35.329,39251
220,6,36.342,52476
220,7,37.389,65937
220,8,38.576,84920
221,1,31.196,32664
221,2,31.723,16215
221,3,32.552,27394
221,4,33.519,38290
221,5,34.518,48868
221,6,35.579,65577
221,7,36.662,81647
221,8,37.883,104485
222,1,31.364,26906
222,2,31.836,14235
222,3,32.609,25257
222,4,33.513,36990
222,5,34.473,48632
222,6,35.520,67218
222,7,36.589,82756
222,8,37.892,112540
223,1,33.268,14080
223,2,33.698,8867
223,3,34.405,15195
223,4,35.226,22456
223,5,36.063,29642
223,6,37.044,43128
223,7,38.078,54543
223,8,39.373,74761
224,1,27.871,48993
224,2,28.530,27453
224,3,29.583,48768
224,4,30.728,67195
224,5,31.916,85132
224,6,33.184,113151
224,7,34.502,138189
224,8,35.977,174532
225,1,30.299,35820
225,2,31.033,17251
225,3,32.129,29001
225,4,33.360,38706
225,5,34.641,48862
225,6,35.873,60113
225,7,37.246,75760
225,8,38.752,93139
226,1,96.980,433
226,2,96.980,498
226,3,96.980,516
226,4,96.980,525
226,5,96.980,538
226,6,96.980,548
226,7,96.980,557
226,8,96.980,562
227,1,96.980,433
227,2,96.980,498
227,3,96.980,516
227,4,96.980,525
227,5,96.980,538
227,6,96.980,548
227,7,96.980,557
227,8,96.980,562
228,1,96.980,433
228,2,96.980,498
228,3,96.980,516
228,4,96.980,525
228,5,96.980,538
228,6,96.980,548
228,7,96.980,557
228,8,96.980,562
229,1,41.618,2218
229,2,42.031,1853
229,3,43.158,3012
229,4,44.054,3984
229,5,44.784,5046
229,6,45.578,7391
229,7,46.674,9696
229,8,48.496,12923
230,1,34.888,9516
230,2,35.507,6344
230,3,36.409,10170
230,4,37.405,13725
230,5,38.384,17616
230,6,39.432,24112
230,7,40.507,30334
230,8,41.675,39238
231,1,33.021,11611
231,2,34.039,8101
231,3,35.206,11993
231,4,36.387,15204
231,5,37.390,18722
231,6,38.476,25626
231,7,39.541,32265
231,8,40.548,40268
232,1,33.399,8960
232,2,34.312,5991
232,3,35.362,8710
232,4,36.481,11306
232,5,37.427,14030
232,6,38.546,19532
232,7,39.603,25161
232,8,40.605,31914
233,1,33.407,8788
233,2,34.305,5826
233,3,35.352,8563
233,4,36.457,11107
233,5,37.435,13935
233,6,38.521,18962
233,7,39.583,24854
233,8,40.584,31081
234,1,33.275,8698
234,2,34.189,5967
234,3,35.261,8833
234,4,36.382,11125
234,5,37.380,14011
234,6,38.467,19198
234,7,39.535,24977
234,8,40.529,31606
235,1,33.239,9087
235,2,34.138,5911
235,3,35.228,8813
235,4,36.347,11229
235,5,37.341,14762
235,6,38.400,19571
235,7,39.482,25982
235,8,40.481,32742
236,1,33.242,9035
236,2,34.165,6151
236,3,35.241,8976
236,4,36.305,11327
236,5,37.272,14297
236,6,38.357,19983
236,7,39.424,25738
236,8,40.424,32845
237,1,33.132,9495
237,2,34.049,6284
237,3,35.105,9209
237,4,36.207,11807
237,5,37.197,15098
237,6,38.273,20413
237,7,39.339,26842
237,8,40.350,34361
238,1,33.094,9458
238,2,34.011,6244
238,3,35.066,9184
238,4,36.176,11970
238,5,37.149,14941
238,6,38.227,20642
238,7,39.307,27413
238,8,40.301,34295
239,1,33.781,14498
239,2,34.634,8270
239,3,35.616,12099
239,4,36.709,15752
239,5,37.807,21011
239,6,38.924,26747
239,7,40.095,34684
239,8,41.380,43744
240,1,34.196,14747
240,2,35.079,8092
240,3,36.126,11768
240,4,37.246,14898
240,5,38.270,18932
240,6,39.399,24533
240,7,40.511,30973
240,8,41.616,36505
241,1,34.740,6901
241,2,35.543,4519
241,3,36.585,6663
241,4,37.727,8268
241,5,38.758,10324
241,6,39.930,14024
241,7,41.044,17935
241,8,42.046,22480
242,1,35.006,12319
242,2,35.769,6815
242,3,36.921,9863
242,4,38.090,12393
242,5,39.153,16200
242,6,40.339,20492
242,7,41.453,25468
242,8,42.819,31640
243,1,36.458,8498
243,2,37.273,4858
243,3,38.244,7264
243,4,39.491,9254
243,5,40.505,11819
243,6,41.597,15820
243,7,42.600,19551
243,8,43.784,25714
244,1,37.628,4497
244,2,38.205,2520
244,3,39.044,4000
244,4,40.057,5286
244,5,40.904,6763
244,6,42.017,9494
244,7,42.971,11931
244,8,43.966,15291
245,1,36.572,5632
245,2,37.098,3507
245,3,38.398,5319
245,4,39.751,7156
245,5,40.818,9057
245,6,42.009,11939
245,7,43.005,14591
245,8,44.378,19979
246,1,35.816,9846
246,2,36.517,5566
246,3,37.621,9325
246,4,38.964,12233
246,5,40.084,15933
246,6,41.307,21356
246,7,42.448,26123
246,8,43.991,33585
247,1,36.734,5006
247,2,37.427,3200
247,3,38.460,5005
247,4,39.655,6489
247,5,40.751,8158
247,6,41.993,10884
247,7,43.076,13682
247,8,44.295,16798
248,1,36.867,3670
248,2,37.560,2537
248,3,38.597,4072
248,4,39.813,5230
248,5,40.887,6797
248,6,42.127,9174
248,7,43.181,11172
248,8,44.417,14095
249,1,34.813,14901
249,2,35.619,7669
249,3,36.901,12190
249,4,38.044,15967
249,5,39.172,20861
249,6,40.574,28062
249,7,41.855,33902
249,8,43.619,43755
250,1,35.379,5988
250,2,36.155,3515
250,3,37.341,5352
250,4,38.602,6981
250,5,39.630,8706
250,6,40.746,12136
250,7,41.822,15273
250,8,42.821,19466
251,1,35.449,6054
251,2,36.222,3540
251,3,37.419,5511
251,4,38.690,6799
251,5,39.667,8568
251,6,40.753,11947
251,7,41.836,15437
251,8,42.850,19916
252,1,34.921,16152
252,2,35.632,6842
252,3,36.638,10882
252,4,37.696,13376
252,5,38.599,17314
252,6,39.624,23920
252,7,40.655,30798
252,8,41.666,38737
253,1,34.475,16657
253,2,35.107,7209
253,3,36.027,11578
253,4,37.016,14644
253,5,37.965,19323
253,6,38.967,24903
253,7,40.006,32054
253,8,41.098,41199
254,1,35.602,11942
254,2,36.163,5590
254,3,37.052,9064
254,4,38.014,11866
254,5,38.943,15787
254,6,39.997,21431
254,7,41.059,26532
254,8,42.208,34428
255,1,35.445,10625
255,2,36.037,5620
255,3,36.939,8723
255,4,37.877,11608
255,5,38.761,14765
255,6,39.804,20617
255,7,40.883,26077
255,8,41.972,33119
256,1,35.814,12926
256,2,36.453,5547
256,3,37.500,8892
256,4,38.570,10930
256,5,39.623,14049
256,6,40.821,18691
256,7,41.956,22975
256,8,43.050,27557
257,1,36.030,10051
257,2,36.660,4338
257,3,37.723,6978
257,4,38.854,8751
257,5,39.920,11127
257,6,41.137,14151
257,7,42.291,17455
257,8,43.384,21055
258,1,36.175,7986
258,2,36.796,3744
258,3,37.881,6200
258,4,39.018,7674
258,5,40.057,9471
258,6,41.287,12577
258,7,42.453,15359
258,8,43.497,18564
259,1,35.972,10085
259,2,36.598,4325
259,3,37.670,6963
259,4,38.811,8884
259,5,39.896,10999
259,6,41.127,14074
259,7,42.303,17179
259,8,43.376,20668
260,1,36.025,9144
260,2,36.625,4074
260,3,37.738,6576
260,4,38.915,8148
260,5,39.970,9990
260,6,41.193,12987
260,7,42.382,16002
260,8,43.436,19026
261,1,36.291,8374
261,2,36.868,3646
261,3,37.933,6057
261,4,39.054,7518
261,5,40.084,9237
261,6,41.300,12119
261,7,42.465,15173
261,8,43.518,17919
262,1,36.696,8652
262,2,37.331,4358
262,3,38.356,6814
262,4,39.390,8184
262,5,40.401,10551
262,6,41.535,14440
262,7,42.637,18185
262,8,43.652,22664
263,1,37.067,8647
263,2,37.735,4525
263,3,38.715,6687
263,4,39.721,8376
263,5,40.694,10842
263,6,41.762,14245
263,7,42.774,17670
263,8,43.752,22855
264,1,36.120,13168
264,2,36.772,6151
264,3,37.660,9309
264,4,38.693,12070
264,5,39.676,15447
264,6,40.696,20129
264,7,41.737,25616
264,8,42.826,33906
265,1,35.811,13863
265,2,36.441,6593
265,3,37.371,10031
265,4,38.394,13229
265,5,39.369,17059
265,6,40.406,22413
265,7,41.448,27745
265,8,42.576,37062
266,1,35.533,17097
266,2,36.203,7551
266,3,37.103,11226
266,4,38.161,14409
266,5,39.160,18612
266,6,40.197,23957
266,7,41.256,30606
266,8,42.339,38655
267,1,35.326,13025
267,2,35.919,6332
267,3,36.843,9879
267,4,37.849,12754
267,5,38.786,16576
267,6,39.809,22281
267,7,40.840,27828
267,8,41.919,37709
268,1,34.083,27832
268,2,34.710,11306
268,3,35.642,18511
268,4,36.717,23607
268,5,37.751,30483
268,6,38.858,40259
268,7,39.989,49969
268,8,41.192,63513
269,1,31.554,37847
269,2,32.263,17357
269,3,33.295,28531
269,4,34.434,37465
269,5,35.505,47199
269,6,36.677,62707
269,7,37.934,78796
269,8,39.184,98728
270,1,30.766,41469
270,2,31.458,19875
270,3,32.499,33455
270,4,33.603,42963
270,5,34.675,55734
270,6,35.846,73494
270,7,37.086,92333
270,8,38.351,114979
271,1,30.410,44811
271,2,31.109,21519
271,3,32.170,35624
271,4,33.270,44871
271,5,34.369,58648
271,6,35.524,76773
271,7,36.780,97251
271,8,38.035,120432
272,1,29.770,55556
272,2,30.465,24635
272,3,31.538,41136
272,4,32.706,52805
272,5,33.804,68385
272,6,34.984,88567
272,7,36.258,112262
272,8,37.527,136976
273,1,30.516,53306
273,2,31.202,22938
273,3,32.247,37472
273,4,33.345,47147
273,5,34.401,61798
273,6,35.533,80074
273,7,36.780,101635
273,8,38.013,123735
274,1,31.788,26425
274,2,32.508,13350
274,3,33.563,21630
274,4,34.655,27960
274,5,35.672,36659
274,6,36.786,48276
274,7,38.004,62408
274,8,39.166,78357
275,1,35.373,13198
275,2,36.096,6582
275,3,37.102,10194
275,4,38.174,12393
275,5,39.125,15949
275,6,40.140,20754
275,7,41.151,26393
275,8,42.205,33413
276,1,34.220,14525
276,2,35.004,7571
276,3,36.002,11084
276,4,37.129,14192
276,5,38.133,17836
276,6,39.186,23331
276,7,40.211,29857
276,8,41.282,38352
277,1,34.021,14282
277,2,34.843,7537
277,3,35.861,10706
277,4,36.987,13575
277,5,37.984,17050
277,6,39.044,22649
277,7,40.082,29190
277,8,41.157,37388
278,1,34.589,14249
278,2,35.358,7334
278,3,36.373,10679
278,4,37.466,13416
278,5,38.446,17321
278,6,39.496,22185
278,7,40.528,28287
278,8,41.551,35688
279,1,34.707,11582
279,2,35.489,6624
279,3,36.482,9443
279,4,37.553,11932
279,5,38.511,15088
279,6,39.569,20282
279,7,40.608,25505
279,8,41.652,32735
280,1,35.369,11802
280,2,36.144,6507
280,3,37.118,9442
280,4,38.158,11887
280,5,39.134,15234
280,6,40.160,20159
280,7,41.155,24936
280,8,42.213,31933
281,1,35.444,8901
281,2,36.208,5480
281,3,37.150,7577
281,4,38.159,9635
281,5,39.105,12300
281,6,40.087,16696
281,7,41.101,21457
281,8,42.145,28077
282,1,36.511,8651
282,2,37.134,4987
282,3,38.070,7215
282,4,39.056,9093
282,5,39.934,11563
282,6,40.932,15898
282,7,41.972,19794
282,8,43.119,25252
283,1,37.561,9506
283,2,38.191,4973
283,3,39.003,7184
283,4,39.953,9214
283,5,40.812,11549
283,6,41.834,15730
283,7,42.835,19611
283,8,43.942,24972
284,1,36.793,11414
284,2,37.387,5641
284,3,38.200,8318
284,4,39.083,10551
284,5,40.007,14190
284,6,41.045,19236
284,7,42.039,24062
284,8,43.109,30260
285,1,36.898,9497
285,2,37.516,4477
285,3,38.333,6917
285,4,39.310,8966
285,5,40.204,11734
285,6,41.267,16072
285,7,42.258,19536
285,8,43.397,25304
286,1,36.637,8574
286,2,37.312,4407
286,3,38.368,6783
286,4,39.453,8425
286,5,40.446,10969
286,6,41.489,14398
286,7,42.485,17848
286,8,43.627,23170
287,1,36.726,5752
287,2,37.438,3483
287,3,38.457,5339
287,4,39.529,6646
287,5,40.529,8538
287,6,41.579,11185
287,7,42.593,13909
287,8,43.665,17603
288,1,36.590,6698
288,2,37.320,3968
288,3,38.344,6013
288,4,39.501,7585
288,5,40.492,9578
288,6,41.531,12655
288,7,42.511,15825
288,8,43.618,20140
289,1,36.800,5637
289,2,37.507,3317
289,3,38.536,5042
289,4,39.682,6388
289,5,40.650,7801
289,6,41.685,10281
289,7,42.683,12842
289,8,43.734,16129
290,1,36.909,4376
290,2,37.592,2639
290,3,38.614,4202
290,4,39.713,5320
290,5,40.705,6642
290,6,41.752,9077
290,7,42.744,11379
290,8,43.820,14221
291,1,36.918,4757
291,2,37.577,2772
291,3,38.596,4313
291,4,39.694,5438
291,5,40.663,6799
291,6,41.728,9077
291,7,42.723,11403
291,8,43.766,14181
292,1,35.753,8617
292,2,36.467,4685
292,3,37.504,7219
292,4,38.638,9227
292,5,39.610,11603
292,6,40.691,15728
292,7,41.734,19370
292,8,42.773,24533
293,1,34.541,5105
293,2,35.307,3322
293,3,36.413,5349
293,4,37.597,6869
293,5,38.583,8477
293,6,39.713,11540
293,7,40.837,14530
293,8,41.814,17507
294,1,34.431,5638
294,2,35.210,3909
294,3,36.342,6158
294,4,37.538,7822
294,5,38.546,9734
294,6,39.665,12731
294,7,40.780,16001
294,8,41.777,19377
295,1,34.247,6770
295,2,35.041,4850
295,3,36.196,7481
295,4,37.389,9438
295,5,38.411,11617
295,6,39.523,15784
295,7,40.654,19831
295,8,41.657,23942
296,1,34.261,6399
296,2,35.081,4574
296,3,36.206,7040
296,4,37.403,8657
296,5,38.421,10672
296,6,39.561,13874
296,7,40.700,17274
296,8,41.708,20705
297,1,34.169,6802
297,2,35.005,4757
297,3,36.191,7247
297,4,37.373,8860
297,5,38.424,10826
297,6,39.568,14055
297,7,40.709,17225
297,8,41.752,20904
298,1,34.022,7481
298,2,34.838,5501
298,3,36.014,8205
298,4,37.223,10394
298,5,38.292,12421
298,6,39.445,16511
298,7,40.613,20160
298,8,41.645,24674
299,1,34.081,7102
299,2,34.860,5129
299,3,36.058,7520
299,4,37.311,9308
299,5,38.363,11163
299,6,39.527,14821
299,7,40.667,18003
299,8,41.684,21473
300,1,33.922,7765
300,2,34.725,5262
300,3,35.923,7793
300,4,37.189,9856
300,5,38.249,11634
300,6,39.411,15155
300,7,40.556,18576
300,8,41.596,22419
301,1,33.738,8190
301,2,34.565,5668
301,3,35.742,8399
301,4,36.999,10450
301,5,38.117,12786
301,6,39.283,16806
301,7,40.441,20572
301,8,41.459,24861
302,1,33.785,8121
302,2,34.589,5335
302,3,35.784,8079
302,4,37.035,10073
302,5,38.119,11879
302,6,39.296,15833
302,7,40.454,19344
302,8,41.511,23133
303,1,33.692,8757
303,2,34.503,5609
303,3,35.688,8477
303,4,36.933,10414
303,5,38.033,12702
303,6,39.168,16340
303,7,40.342,20325
303,8,41.406,24763
304,1,33.695,10239
304,2,34.521,5902
304,3,35.697,8870
304,4,36.924,11095
304,5,38.014,13671
304,6,39.157,17756
304,7,40.303,21614
304,8,41.347,26687
305,1,33.760,10572
305,2,34.575,6304
305,3,35.745,9631
305,4,36.991,11894
305,5,38.051,14530
305,6,39.235,18831
305,7,40.361,22901
305,8,41.442,28143
306,1,33.546,10567
306,2,34.400,6266
306,3,35.589,9538
306,4,36.826,11920
306,5,37.913,14384
306,6,39.054,18583
306,7,40.201,23060
306,8,41.241,28316
307,1,33.490,9361
307,2,34.325,5904
307,3,35.549,8893
307,4,36.837,11060
307,5,37.944,13165
307,6,39.102,17474
307,7,40.261,21375
307,8,41.308,25658
308,1,33.444,9014
308,2,34.311,5922
308,3,35.523,8821
308,4,36.791,10759
308,5,37.857,13048
308,6,39.046,17101
308,7,40.202,21282
308,8,41.252,25537
309,1,33.292,9578
309,2,34.205,6223
309,3,35.424,9340
309,4,36.685,11813
309,5,37.782,14163
309,6,38.946,18890
309,7,40.144,23452
309,8,41.181,28618
310,1,33.297,9374
310,2,34.217,6014
310,3,35.408,8887
310,4,36.707,10933
310,5,37.783,13213
310,6,38.995,17597
310,7,40.152,21480
310,8,41.232,26315
311,1,33.246,9666
311,2,34.138,6282
311,3,35.356,9194
311,4,36.588,11422
311,5,37.686,13766
311,6,38.877,18282
311,7,40.066,22783
311,8,41.118,27205
312,1,33.052,10544
312,2,33.930,6802
312,3,35.122,10181
312,4,36.388,12891
312,5,37.477,15741
312,6,38.669,21226
312,7,39.831,25809
312,8,40.911,31820
313,1,33.072,10320
313,2,33.970,6548
313,3,35.132,9423
313,4,36.420,12254
313,5,37.509,14958
313,6,38.687,19657
313,7,39.844,24707
313,8,40.930,30158
314,1,32.987,10705
314,2,33.853,6747
314,3,35.047,10008
314,4,36.330,12510
314,5,37.409,15212
314,6,38.601,20411
314,7,39.798,25025
314,8,40.862,30545
315,1,32.976,10650
315,2,33.845,6807
315,3,35.049,10102
315,4,36.300,12720
315,5,37.421,15505
315,6,38.638,20561
315,7,39.820,25469
315,8,40.880,30940
316,1,32.976,11261
316,2,33.846,7030
316,3,35.067,10436
316,4,36.348,13041
316,5,37.435,15581
316,6,38.607,21010
316,7,39.807,26436
316,8,40.865,32142
317,1,33.017,11579
317,2,33.843,6730
317,3,35.032,10303
317,4,36.295,12777
