GOP,layer, Y-PSNR, bits
32,6,40.577,13705
32,7,41.490,16764
32,8,42.367,21761
33,1,36.279,5956
33,2,36.967,4380
33,3,38.014,6572
33,4,39.059,7848
33,5,39.967,9361
33,6,40.931,12478
33,7,41.847,15308
33,8,42.716,19358
34,1,36.691,5274
34,2,37.363,4018
34,3,38.368,5987
34,4,39.415,7492
34,5,40.316,8700
34,6,41.295,11524
34,7,42.215,14233
34,8,43.059,17827
35,1,37.097,4508
35,2,37.800,3658
35,3,38.820,5263
35,4,39.847,6541
35,5,40.739,7846
35,6,41.678,10277
35,7,42.565,12849
35,8,43.402,16575
36,1,37.313,4475
36,2,37.967,3631
36,3,38.943,5222
36,4,39.921,6806
36,5,40.810,7984
36,6,41.727,10720
36,7,42.614,13365
36,8,43.483,17549
37,1,37.550,4210
37,2,38.236,3277
37,3,39.132,4806
37,4,40.113,6168
37,5,40.975,7376
37,6,41.899,10088
37,7,42.761,12380
37,8,43.632,16168
38,1,35.473,11924
38,2,36.194,7246
38,3,37.131,10726
38,4,38.156,14184
38,5,39.130,17702
38,6,40.073,23015
38,7,40.997,28548
38,8,42.003,38245
39,1,37.053,8567
39,2,37.704,4247
39,3,38.551,6277
39,4,39.582,8643
39,5,40.526,10834
39,6,41.525,14416
39,7,42.439,17867
39,8,43.533,24354
40,1,36.223,10974
40,2,36.895,5226
40,3,37.792,7867
40,4,38.768,10123
40,5,39.723,12943
40,6,40.689,17026
40,7,41.691,21317
40,8,42.780,27594
41,1,35.723,13715
41,2,36.456,6301
41,3,37.400,9741
41,4,38.405,12713
41,5,39.355,15814
41,6,40.375,20591
41,7,41.456,25553
41,8,42.554,32358
42,1,33.495,25008
42,2,34.256,9061
42,3,35.315,14302
42,4,36.517,18793
42,5,37.658,23312
42,6,38.829,28898
42,7,40.071,35535
42,8,41.338,45100
43,1,32.608,39923
43,2,33.342,13146
43,3,34.387,21803
43,4,35.600,28737
43,5,36.814,35746
43,6,38.029,44003
43,7,39.303,53529
43,8,40.779,68282
44,1,29.836,79154
44,2,30.720,27528
44,3,31.852,42445
44,4,33.148,55164
44,5,34.410,66158
44,6,35.738,81396
44,7,37.190,98385
44,8,38.720,114200
45,1,28.316,103083
45,2,29.171,37237
45,3,30.350,58898
45,4,31.696,76467
45,5,33.013,91775
45,6,34.383,111757
45,7,35.852,135529
45,8,37.414,157867
46,1,31.689,57198
46,2,32.509,19183
46,3,33.597,29635
46,4,34.912,39026
46,5,36.198,48133
46,6,37.417,56734
46,7,38.749,70144
46,8,40.325,85438
47,1,32.547,47130
47,2,33.295,14890
47,3,34.337,23893
47,4,35.550,31301
47,5,36.753,38598
47,6,37.891,47624
47,7,39.083,57772
47,8,40.395,71547
48,1,31.346,49151
48,2,32.052,18877
48,3,33.055,30831
48,4,34.246,41728
48,5,35.422,52030
48,6,36.614,66415
48,7,37.867,80688
48,8,39.365,102396
49,1,31.361,40412
49,2,32.114,16114
49,3,33.158,25912
49,4,34.328,34367
49,5,35.471,42959
49,6,36.661,55313
49,7,37.883,67256
49,8,39.223,84101
50,1,31.163,46916
50,2,31.948,18679
50,3,33.023,29942
50,4,34.234,39526
50,5,35.399,48354
50,6,36.603,60953
50,7,37.838,74356
50,8,39.188,93126
51,1,31.083,39203
51,2,31.824,16321
51,3,32.914,26375
51,4,34.117,34833
51,5,35.258,42582
51,6,36.450,54530
51,7,37.675,66429
51,8,38.939,83685
52,1,31.372,34140
52,2,32.179,15549
52,3,33.328,24360
52,4,34.526,31730
52,5,35.664,38646
52,6,36.822,49760
52,7,38.039,60633
52,8,39.308,77180
53,1,31.957,26035
53,2,32.776,12898
53,3,33.909,19598
53,4,35.078,25532
53,5,36.160,31250
53,6,37.283,40635
53,7,38.467,50227
53,8,39.640,63858
54,1,32.071,26849
54,2,32.877,13010
54,3,34.040,20234
54,4,35.219,25372
54,5,36.282,31266
54,6,37.434,41059
54,7,38.617,50614
54,8,39.762,63404
55,1,31.358,26395
55,2,32.183,14596
55,3,33.254,22885
55,4,34.386,30447
55,5,35.438,37235
55,6,36.573,50098
55,7,37.725,61207
55,8,38.918,79203
56,1,28.675,48106
56,2,29.459,25511
56,3,30.529,41963
56,4,31.671,56905
56,5,32.803,70635
56,6,34.063,93826
56,7,35.397,114724
56,8,36.778,138819
57,1,27.918,54246
57,2,28.758,29811
57,3,30.002,47329
57,4,31.321,61636
57,5,32.613,73508
57,6,34.055,92222
57,7,35.601,110679
57,8,37.082,126632
58,1,28.091,42986
58,2,29.026,23633
58,3,30.236,37895
58,4,31.537,49696
58,5,32.795,59616
58,6,34.223,75466
58,7,35.778,91347
58,8,37.275,104586
59,1,28.022,44825
59,2,28.946,24856
59,3,30.138,39238
59,4,31.441,51829
59,5,32.688,62518
59,6,34.113,79097
59,7,35.664,95568
59,8,37.158,110314
60,1,27.994,45806
60,2,28.907,25492
60,3,30.111,40250
60,4,31.390,53432
60,5,32.655,64161
60,6,34.099,82179
60,7,35.640,97776
60,8,37.149,113068
61,1,28.053,47551
61,2,28.973,25784
61,3,30.174,40836
61,4,31.500,53864
61,5,32.757,64020
61,6,34.199,81131
61,7,35.767,96433
61,8,37.266,110573
62,1,28.147,44328
62,2,29.100,24304
62,3,30.313,37854
62,4,31.625,49750
62,5,32.911,60101
62,6,34.335,74915
62,7,35.878,89959
62,8,37.365,102419
